"Timestamp","What age range are you?","What is your gender?","What actions do you take regarding your health?","How would you rate your health?","Have you ever tracked your health and/or fitness?","Why do you not track your health and/or fitness?","How do you generally like to keep track of activities?","Which of the following did you keep track of? (Select all that apply.) ","What did you use to record your health and/or fitness? (Select all that apply.) ","If you used any app or device, could you tell us which one(s)? ","Why did you stop tracking your health and/or fitness?","Is there anything you liked about your health and/or fitness tracking method before you stopped? ","Who viewed your health and/or fitness information?","How was your health and/or fitness information used? ","What, if anything, has been helpful about the information you tracked? ","What would motivate you to track your health and/or fitness again?","Which of the following do you keep track of? (Select all that apply.) ","What do you use to record your health and/or fitness? (Select all that apply.) ","If you use any app or device, could you tell us which one(s)? ","Why do you track your health and/or fitness?","Is there anything you like about your current health and/or fitness tracking method?","In the last 30 days, how often have you tracked your health and/or fitness? ","Who views your health and/or fitness information?","How is your health and/or fitness information being used? ","What, if anything, has been helpful about the information you tracked? ","Is there anything that could be better about your current health and/or fitness tracking method?"
"2020/07/20 12:49:43 AM EST","18 - 24","Woman","Take medication and/or health supplements;Exercise;Maintain a diet;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","4","Yes, I have tracked before but not in the last 30 days","","","Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake","Mobile App","My Fitness Pal (by UnderArmor)","I found that it was starting to take over my life and causing me to have a really unhealthy relationship with food and with exercise.","It did feel good to track my progress and be able to see the difference I was making. It was motivating too to have the numbers.","Myself","I used it to inform both my eating and exercising habits for the period of time i was using it","It did make me more cognizant of what I was eating, and helped me make healthier choices about the kinds of foods I was putting into my body. But otherwise, I think it gave me a really unhealthy relationship with my body, the way I took care of it, and my relationship with food.","Maybe if I really really needed to lose weight for some reason, but I would definitely turn to other methods before doing tracking. I would definitely be interested in sleep tracking though, just for my own curiosity","","","","","","","","","",""
"2020/07/20 11:23:36 AM EST","35 - 44","Woman","Receive regular treatment and/or consultation at clinic;Exercise;Maintain a diet;Track your health and/or fitness","4","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);menstrual cycle/fertility","Mobile App","Steps counter with iPhone, Pokemon go, Clue, tried Noom","I might not get enough exercise otherwise - I am motivated at least to try and hit 4k steps a day which can be hard working from home all day","I like the reward system in Pokemon Go ","Everyday","Myself","I don't know","Steps - It gives me easy feedback ""You're doing less steps than last week"" in addition to letting me see the data myself. ","It's fairly easy to trick my phone in that I'm taking steps. I also wish it would remind me to go and take steps if I'm off track and that I could customize when those reminders would be sent. I wish Pokemon GO would ping me if I haven't signed in today. "
"2020/07/20 11:34:33 AM EST","25 - 34","Man","Exercise","5","Yes, I have tracked before but not in the last 30 days","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Mobile App","Fitbit/Garmin/Apple Health","Wearable broke","Fun to track my VO2 levels to see if my overall fitness was improving with my exercise routine","Myself;My Friends","By me for fun","Good to know max heart rate and VO2 levels - nothing from a medical perspective though","Better wearables at a lower cost or if I had a medical condition that necessitated health/fitness tracking","","","","","","","","","",""
"2020/07/20 11:36:25 AM EST","25 - 34","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Maintain a diet;Track your health and/or fitness;Receive mental counseling;Learn more about your health (e.g. from online, friends or community)","5","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);Food / Calories Intake;Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea)","Wearable;Mobile App","","Good data","Hard to stay motivated","Everyday","Myself","Just for me in theory, but it's probably being mined and sold to someone. ","Daily tracking","Nope"
"2020/07/20 11:36:27 AM EST","35 - 44","Man","Take medication and/or health supplements;Exercise;Track your health and/or fitness","4","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable","Whoop","To better align performance and how I'm feeling","The wearable does NOT have a screen.","Everyday","Myself","To match perceived effort with cardiovascular strain, which allows me to ""feel"" how hard I'm pushing myself.","I understand better my sleep quality.","The product could be thinner."
"2020/07/20 11:39:22 AM EST","55 - 64","Man","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Track your health and/or fitness","3","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned);Medication;Pain (e.g. Headache, Muscle pain, Joint pain)","Wearable","iWatch","feedback for motivation","ease of use","5-6 times / week","Myself","monitoring blood pressure, resting heart rate","positive feedback on progress","better exchange of data between services"
"2020/07/20 11:49:42 AM EST","35 - 44","Woman","Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","3","Yes and I am currently still tracking","","","","","","","","","","","","Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable","Fitbit","I would not say that I ""actively"" track. I wear a fitbit daily. I check my stats a few days a week. It reminds me to move when I've been sitting too long. I feel like it nudges me to take better care of myself (something that I want to do), but in a more passive way rather than intentionally starting a fitness routine or making major lifestyle changes. I guess my personal hope is that little things add up. ","It's easy and fairly automatic. Remembering to wear it is the hardest part. I also like that the specific fitbit model I have shows me high level stats directly on the screen. I don't have to log into a dashboard to see my status, only if I want more detailed information. ","3-4 times / week","Myself","I have no idea what part of my life I signed away by agreeing to Fitbit's ToS and what they do with my data (scary thought). Personally, I mostly use it to validate how I'm feeling. ""I feel really tired today. (checks fitbit) oh, I didn't go to bed til way too late and only got X hrs of sleep... "" I also use it as motivation to get at least some steps in while working from home. If, by the end of the day I see I have hardly any, I can take steps (pun intended) to improve. ","Keeps me at least a little accountable and provides motivation to do better tomorrow :)","Sometimes has technology issues syncing to different devices. Remembering to charge it can be a pain. Sometimes when it tries to be smart there are inaccuracies - no, I wasn't just on a bike ride, I was mowing my lawn. No, I wasn't sleeping, I was just watching Netflix for an hour. "
"2020/07/20 11:57:33 AM EST","35 - 44","Woman","Exercise;Track your health and/or fitness","3","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);period","Wearable;Mobile App","Clue, Garmin Connect","stay healthy","wristband doesn't need to be charged, I can wear it all the time","5-6 times / week","Myself","for me to know when to move more, when to expect period to start","patterns","I wish I had a nicer looking wrist band"
"2020/07/20 12:26:58 PM EST","35 - 44","Woman","Take medication and/or health supplements;Exercise;Track your health and/or fitness","4","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable","Garmin Vivoactive 4s","I am a data nerd and like seeing information about my activity and sleep. I like seeing how I do versus my daily goals attached to my Garmin watch.","I like the ability to look back at my performance over time - how much sleep I've gotten, how active I've been (or not). ","Everyday","Myself","Just for my own information.","I appreciate seeing how much sleep I get an correlating that with how I feel so that I can determine what amount of sleep is optimal for me.","I wish it were easier for me to know how far I've gone. I think that is possible with my Garmin watch, but I haven't set it up properly yet. I recall this being easier with my FitBit. "
"2020/07/20 12:29:02 PM EST","35 - 44","Man","Exercise;Learn more about your health (e.g. from online, friends or community)","4","No","No specific questions to answer.","Mobile device.","","","","","","","","","","","","","","","","","","",""
"2020/07/20 2:01:21 PM EST","65 or older","Woman","Receive regular treatment and/or consultation at clinic;Take medication and/or health supplements;Exercise;Learn more about your health (e.g. from online, friends or community)","3","No","I'm not sure what you mean by tracking. I pay attention to my diet, exercise, but I don't formally track it.","Informally, in my head.","","","","","","","","","","","","","","","","","","",""
"2020/07/20 3:26:43 PM EST","35 - 44","Woman","Exercise;Maintain a diet;Track your health and/or fitness","4","Yes and I am currently still tracking","","","","","","","","","","","","Exercise (e.g. Steps taken, Distance, Calories burned);period tracking","Mobile App","google fit","motivation to get moving","no extra device needed, automatically tracks - no action needed from me","Everyday","Myself","just for my own use","adds some accountability","It often does not calculate distances accurately"
"2020/07/20 4:02:27 PM EST","45 - 54","Man","Exercise;Maintain a diet","4","Yes, I have tracked before but not in the last 30 days","","","Sleep (e.g. Sleep time, Sleep quality);Mood;Food / Calories Intake;Pain (e.g. Headache, Muscle pain, Joint pain);Digestive Problems (e.g. Nausea,  Vomiting, Constipation, Diarrhea);Respiratory Problems (e.g. Cough, Shortness of breath)","No tool. ","No tool","General picture is adequate.  Too detailed will increase anxiety ","Nil","Myself","Self evaluation and monitoring","Keep track on stability on health status","When there is significant health change.  ","","","","","","","","","",""
"2020/07/20 4:21:28 PM EST","35 - 44","Man","Take medication and/or health supplements;Exercise;Track your health and/or fitness;Learn more about your health (e.g. from online, friends or community)","3","Yes and I am currently still tracking","","","","","","","","","","","","Cardiovascular (e.g. Heart rate, Blood pressure);Sleep (e.g. Sleep time, Sleep quality);Exercise (e.g. Steps taken, Distance, Calories burned)","Wearable;Mobile App","Whoop","personal accountability","It's low profile. There is no screen and the charge lasts for a few days.","Everyday","Myself","I'm sure Whoop is using it for something.","It shows heart rate performance daily which I can cross reference against my behaviors for good insight.","more actionable content."
